iter	Logloss
0	0.6929992735
1	0.6928574023
2	0.6927271081
3	0.6926238009
4	0.692486935
5	0.6924018941
6	0.6922691379
7	0.6921589438
8	0.6920574386
9	0.691976793
10	0.6918991897
11	0.691842751
12	0.6917624496
13	0.6917173844
14	0.691646135
15	0.6915634442
16	0.691508799
17	0.691442336
18	0.69138568
19	0.6912969819
20	0.6912204809
21	0.6911508052
22	0.6910892778
23	0.6910222932
24	0.690974866
25	0.6909306964
26	0.6908663435
27	0.6908218988
28	0.690769493
29	0.6907186633
30	0.6906718787
31	0.6906335238
32	0.6905948815
33	0.6905582957
34	0.6905132999
35	0.6904518111
36	0.6903719357
37	0.690340814
38	0.6902933913
39	0.6902592358
40	0.6902029927
41	0.6901538382
42	0.6900689427
43	0.6900097542
44	0.6899592672
45	0.6899141263
46	0.6898680063
47	0.689820631
48	0.6897914518
49	0.6897484307
50	0.6897210263
51	0.6896762958
52	0.6896165043
53	0.6895737786
54	0.6895370555
55	0.6895066165
56	0.6894730178
57	0.6894293993
58	0.6893657293
59	0.6893395327
60	0.6893114896
61	0.6892930806
62	0.689266425
63	0.6892288381
64	0.689191853
65	0.689138502
66	0.6891087845
67	0.6890728681
68	0.689052029
69	0.6890207054
70	0.6889647139
71	0.6889408993
72	0.6889133632
73	0.688876249
74	0.6888325533
75	0.6887519709
76	0.6886802298
77	0.688653309
78	0.6886360177
79	0.6886129487
80	0.6885782915
81	0.6885327924
82	0.6885063833
83	0.6884730807
84	0.6884534964
85	0.6884193039
86	0.6884012335
87	0.6883690384
88	0.6883386033
89	0.6883200535
90	0.6882923962
91	0.6882702318
92	0.6882222767
93	0.6882020567
94	0.688163715
95	0.68811683
96	0.6880745229
97	0.6880498242
98	0.6880261093
99	0.6879987725
100	0.6879572703
101	0.6879376038
102	0.6879158188
103	0.6878539032
104	0.6878204712
105	0.6877950478
106	0.687777653
107	0.6877619551
108	0.687751864
109	0.6877345753
110	0.6877144826
111	0.687688128
112	0.6876427181
113	0.6876056835
114	0.6875780665
115	0.6875616963
116	0.6875449538
117	0.6875325723
118	0.6875002712
119	0.6874812629
120	0.6874606822
121	0.6874371387
122	0.687421463
123	0.6874028027
124	0.687364322
125	0.6873355339
126	0.6873214069
127	0.6872778997
128	0.6872431907
129	0.6872081985
130	0.6871841531
131	0.6871303227
132	0.6871128274
133	0.6870692453
134	0.6870477165
135	0.6869953915
136	0.686968311
137	0.6869518035
138	0.6869261947
139	0.6868927938
140	0.6868656624
141	0.6868419239
142	0.6867814899
143	0.6867484196
144	0.6867255372
145	0.686685558
146	0.6866655784
147	0.6866489887
148	0.6866331782
149	0.6866055946
150	0.6865832286
151	0.6865567447
152	0.6865379572
153	0.6865056838
154	0.6864961333
155	0.6864824707
156	0.6864618991
157	0.6864452136
158	0.6864303067
159	0.6864149458
160	0.6863731964
161	0.6863481906
162	0.6863334005
163	0.6863056491
164	0.6862869081
165	0.6862558269
166	0.6862424091
167	0.6862237261
168	0.6862114817
169	0.6861942
170	0.6861760175
171	0.6861616858
172	0.6861515894
173	0.6861281144
174	0.6861050062
175	0.6860916194
176	0.686048009
177	0.6860195053
178	0.6859771728
179	0.6859629532
180	0.6859356469
181	0.6859232135
182	0.6859095488
183	0.6858899368
184	0.6858698796
185	0.6858432232
186	0.6858305969
187	0.6858137162
188	0.685791317
189	0.6857679419
190	0.685754622
191	0.6857256732
192	0.6857050333
193	0.6856359941
194	0.6856189448
195	0.6855939269
196	0.6855767947
197	0.6855612953
198	0.6855397462
199	0.6855015488
