iter	Passed	Remaining
0	3	765
1	6	632
2	8	576
3	11	565
4	14	548
5	16	528
6	19	530
7	21	525
8	24	515
9	27	520
10	30	516
11	32	507
12	35	509
13	38	505
14	40	498
15	43	498
16	45	494
17	48	488
18	50	484
19	53	480
20	56	480
21	59	478
22	61	474
23	64	471
24	66	467
25	69	463
26	71	461
27	74	456
28	77	456
29	80	454
30	83	453
31	85	449
32	88	447
33	91	447
34	94	446
35	97	445
36	100	442
37	103	440
38	106	437
39	109	436
40	112	434
41	114	430
42	117	429
43	120	426
44	122	422
45	125	420
46	128	416
47	130	414
48	133	412
49	136	409
50	139	407
51	142	405
52	145	403
53	148	401
54	150	398
55	153	395
56	156	392
57	159	390
58	162	387
59	164	383
60	167	381
61	169	377
62	172	375
63	175	371
64	177	368
65	179	365
66	182	362
67	185	360
68	188	357
69	191	355
70	194	352
71	196	349
72	199	346
73	202	344
74	204	341
75	207	338
76	210	335
77	212	333
78	215	330
79	218	327
80	220	324
81	223	321
82	226	318
83	228	315
84	231	312
85	233	310
86	236	307
87	239	304
88	242	302
89	245	299
90	247	296
91	250	293
92	252	290
93	255	288
94	258	286
95	261	283
96	264	280
97	266	277
98	269	275
99	272	272
100	275	270
101	278	267
102	281	264
103	283	261
104	286	259
105	289	256
106	291	253
107	294	251
108	297	248
109	300	246
110	303	243
111	306	240
112	309	237
113	311	235
114	314	232
115	316	229
116	319	226
117	322	223
118	325	221
119	327	218
120	330	215
121	333	213
122	336	210
123	339	207
124	342	205
125	345	202
126	348	200
127	350	197
128	353	194
129	355	191
130	358	188
131	361	186
132	364	183
133	367	181
134	370	178
135	373	175
136	376	173
137	379	170
138	381	167
139	384	164
140	387	162
141	390	159
142	393	156
143	395	153
144	399	151
145	401	148
146	404	145
147	407	143
148	410	140
149	413	137
150	415	134
151	418	132
152	421	129
153	424	126
154	426	123
155	429	121
156	432	118
157	434	115
158	437	112
159	440	110
160	443	107
161	445	104
162	448	101
163	451	99
164	454	96
165	456	93
166	459	90
167	461	87
168	464	85
169	466	82
170	469	79
171	472	76
172	475	74
173	478	71
174	480	68
175	483	65
176	485	63
177	488	60
178	490	57
179	493	54
180	497	52
181	499	49
182	502	46
183	504	43
184	507	41
185	510	38
186	513	35
187	516	32
188	518	30
189	521	27
190	523	24
191	526	21
192	529	19
193	532	16
194	534	13
195	537	10
196	540	8
197	543	5
198	546	2
199	549	0
