"Positions for TESTACCT as of 09:30 AM ET, 11/13/2025"

Individual ...123

"Symbol","Description","Qty (Quantity)","Price","Price Chng $ (Price Change $)","Price Chng % (Price Change %)","Mkt Val (Market Value)","Day Chng $ (Day Change $)","Day Chng % (Day Change %)","Cost Basis","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","Reinvest?","Reinvest Capital Gains?","Security Type",
"AAPL","APPLE INC","20","$185.00","$1.72","0.94%","$3,700.00","$34.20","0.94%","$3,300.00","$400.00","12.12%","Yes","N/A","Equity",
"GOOGL","ALPHABET INC CLASS A","12","$116.50","$1.20","1.04%","$1,398.00","$14.40","1.04%","$1,250.00","$148.00","11.84%","Yes","N/A","Equity",
"NVDA","NVIDIA CORP","6","$121.50","$-1.84","-1.49%","$729.00","$-11.04","-1.49%","$540.00","$189.00","35.00%","Yes","N/A","Equity",
"TSLA","TESLA INC","10","$193.80","$-3.04","-1.54%","$1,938.00","$-30.40","-1.54%","$1,760.00","$178.00","10.11%","No","N/A","Equity",
"VOO","VANGUARD S&P 500 ETF","8","$414.75","$2.60","0.63%","$3,318.00","$20.80","0.63%","$3,072.00","$246.00","8.01%","Yes","N/A","ETFs & Closed End Funds",
"VTI","VANGUARD TOTAL STK MKT ETF","16","$231.00","$1.48","0.64%","$3,696.00","$23.68","0.64%","$3,328.00","$368.00","11.06%","Yes","N/A","ETFs & Closed End Funds",
"SCHD","SCHWAB US DVD EQUITY ETF","24","$25.25","$0.10","0.38%","$606.00","$2.28","0.38%","$528.00","$78.00","14.77%","Yes","Yes","ETFs & Closed End Funds",
"VTSAX","VANGUARD TOTAL STK MKT IDX","36.250","$105.25","$0.67","0.64%","$3,815.31","$24.31","0.64%","N/A","$315.31","9.01%","Yes","Yes","Mutual Fund",
"FXAIX","FIDELITY 500 INDEX","63.250","$153.00","$0.96","0.63%","$9,677.25","$60.72","0.63%","N/A","$1,177.25","13.85%","Yes","Yes","Mutual Fund",
"BTC","BITCOIN","0.0340","$57,440.00","$1,720.00","3.09%","$1,952.96","$58.48","3.09%","$1,700.00","$252.96","14.88%","No","N/A","Cryptocurrency",
"Cash & Cash Investments","--","--","--","--","--","$11,169.48","$0.00","0%","--","--","--","--","--","Cash and Money Market",
"Account Total","","--","--","--","--","$42,000.00","$196.43","0.47%","$37,000.00","$5,000.00","13.51%","--","--","--",
