ticker,prob_beat_market,dividend_yield,momentum,volatility
MKSI,0.6776721077718593,0.56,0.2139480797738391,0.7215810616298183
PEB,0.6753144267215718,0.35,-0.0572538026388743,0.558229594614084
ARCB,0.6727133523357964,0.75,-0.0019432354741364,0.6418595764379335
ENTG,0.6697339995447146,0.52,-0.1465485192260089,0.6970220040706252
LRCX,0.6526972892450315,0.67,0.3174021186447069,0.5077999403868345
KKR,0.6518944917662356,0.61,0.1582238589815285,0.5288517941805081
MU,0.6499946547287355,0.19,0.3078632036780642,0.6138235946702136
MPWR,0.647949200694062,0.67,0.4278572685816537,0.6670589325332928
ODFL,0.6424034988185405,0.83,-0.1344452436856414,0.4508751817975754
WCC,0.6403731372485897,0.68,0.3499403323922345,0.4650493871768925
KAI,0.6376536743429622,0.49,-0.1015719453582674,0.4442566805290032
KLAC,0.6328749279795624,0.65,0.2532210023243111,0.4755356968403708
BDC,0.6328430492533533,0.18,0.265882837288903,0.4085990344064362
DAL,0.6311357358659548,1.17,0.1369507338992863,0.6148554187781932
AEIS,0.630858592864254,0.19,0.3998153648379094,0.5409651780146012
JBL,0.629826385735541,0.15,0.4481753323155339,0.4346196335033304
EVR,0.6293638002028937,1.05,0.4740485875447864,0.5146611363316975
CE,0.6280478402797491,0.29,-0.0108368653675038,0.6928552979430915
JBHT,0.6265351942217866,1.01,-0.0742733733682889,0.3982575966866939
AMKR,0.6256535124416773,0.92,0.1960798509414769,0.6068101680080968
TRU,0.6224885639532364,0.54,0.0062567412033656,0.4997530417800745
H,0.6224595612243835,0.36,0.0535349059689662,0.3999533967982951
PIPR,0.6220953821550257,0.83,0.2795952178264729,0.4187798449185073
LBRT,0.6208069935833533,2.02,-0.2674446496595218,0.6880661240680082
HUBG,0.6206231771374981,1.3,-0.0329479796230328,0.4035580753189194
RXO,0.6203803093690924,0.0,-0.1879662144167098,0.6709209208457869
RH,0.6197869308213518,0.0,-0.2276336373950116,0.9948009181523616
CTS,0.6192474743247872,0.38,0.0046902448397012,0.3623670068481829
FTV,0.6184804178328253,0.45,-0.1765083480424171,0.3147250551436727
VFC,0.6171547781761014,2.06,-0.3208815585763546,0.8530918387700611
WFRD,0.6155507413094731,1.34,0.1835976743058072,0.6454463257529733
SYF,0.6146574582860823,1.55,0.3740698993738416,0.4591507271671893
CRSR,0.6142952421842184,0.0,-0.1896551783820906,0.6416616188672217
CLB,0.6142656543065187,0.26,-0.1650771121805589,0.6308225282114119
IR,0.6139855373165181,0.1,-0.0240849691066521,0.376639492735124
WHD,0.6139356533329954,1.3,-0.1301087990793674,0.4948560320934709
WSC,0.6133488074239404,1.42,-0.189690907296873,0.5574042807563587
CRGY,0.6125806440089911,0.0,-0.1226850079080256,0.6443642893014447
NPO,0.6103029807542856,0.56,0.2562085160429861,0.4194848552808979
RRX,0.6100370129629253,0.96,0.2510022641723162,0.5354869032459075
FLS,0.609568210635212,1.18,0.0722034061726164,0.4494056751122752
TECH,0.6094481792945191,0.5,-0.0884753546461702,0.4838883292879452
BFH,0.6092059173865775,1.36,0.3207050342004975,0.4688578451369277
NOVT,0.6085367324801005,0.0,-0.1674890786116258,0.4570139592248018
KNX,0.6079386382156932,1.57,-0.076011405024199,0.4122766881624708
VST,0.6078017961927861,0.51,0.4942246906198488,0.6017746368204949
CEVA,0.6074119245957319,0.0,-0.3262583498553989,0.6568189897092492
CSW,0.6069871982712489,0.4,-0.0920238928484723,0.4264253438547057
MAR,0.6062922320620986,0.88,-0.0057803310695689,0.3300901978121302
AAL,0.605216890385828,0.0,0.001498090151152,0.6581537063244327
