iter	Passed	Remaining
0	61	12147
1	63	6333
2	67	4404
3	69	3416
4	72	2826
5	75	2435
6	78	2156
7	81	1947
8	84	1792
9	87	1671
10	91	1567
11	94	1485
12	100	1439
13	103	1375
14	107	1320
15	110	1271
16	113	1225
17	116	1182
18	120	1143
19	123	1108
20	126	1079
21	129	1050
22	132	1022
23	136	998
24	139	974
25	142	954
26	146	935
27	149	915
28	152	899
29	155	882
30	159	867
31	161	848
32	164	833
33	168	820
34	171	807
35	174	796
36	178	784
37	181	773
38	184	763
39	188	754
40	192	744
41	194	733
42	198	723
43	201	714
44	204	703
45	207	693
46	209	683
47	213	674
48	216	667
49	219	658
50	222	651
51	226	643
52	229	637
53	233	630
54	236	622
55	239	615
56	242	608
57	246	602
58	249	595
59	252	588
60	255	582
61	258	575
62	262	570
63	264	562
64	268	556
65	271	550
66	274	545
67	291	565
68	302	575
69	309	574
70	315	573
71	319	567
72	323	562
73	327	556
74	330	551
75	334	545
76	337	539
77	340	533
78	345	528
79	348	522
80	351	516
81	354	510
82	358	505
83	361	499
84	365	494
85	368	488
86	372	483
87	375	478
88	379	473
89	383	468
90	386	462
91	389	457
92	393	452
93	397	448
94	401	443
95	404	438
96	408	433
97	411	428
98	415	424
99	419	419
100	423	414
101	426	410
102	430	405
103	433	400
104	437	395
105	440	390
106	443	385
107	447	381
108	451	376
109	454	372
110	458	367
111	460	362
112	464	357
113	467	352
114	470	347
115	473	342
116	476	338
117	479	333
118	483	328
119	487	324
120	490	320
121	493	315
122	497	311
123	500	306
124	504	302
125	507	298
126	511	293
127	514	289
128	517	284
129	520	280
130	523	275
131	526	271
132	529	266
133	532	262
134	536	258
135	539	253
136	542	249
137	545	245
138	548	240
139	551	236
140	554	232
141	558	228
142	561	223
143	564	219
144	568	215
145	571	211
146	574	207
147	577	203
148	581	199
149	584	194
150	587	190
151	590	186
152	594	182
153	597	178
154	600	174
155	603	170
156	606	166
157	609	162
158	614	158
159	617	154
160	620	150
161	623	146
162	627	142
163	630	138
164	633	134
165	636	130
166	639	126
167	642	122
168	645	118
169	648	114
170	652	110
171	655	106
172	659	102
173	662	98
174	664	94
175	668	91
176	671	87
177	674	83
178	677	79
179	681	75
180	684	71
181	687	68
182	690	64
183	693	60
184	697	56
185	700	52
186	704	48
187	707	45
188	710	41
189	713	37
190	716	33
191	719	29
192	723	26
193	726	22
194	729	18
195	733	14
196	736	11
197	740	7
198	743	3
199	746	0
